full_name,workflow_id,run_id,run_attempt,declared_styles,job_name,step_number,step_name,status,conclusion,step_started_at,step_completed_at,seconds_from_run_start,global_step_index,anchor_match,explicit_instru,buildish,real_deviceish,thirdparty_marker,gmd_marker,androidish,custom_followed_file_support,called_origin_match
connectbot/connectbot,6226310,23462188673,1,Community,Trigger remote signing,4,Set release name,completed,success,2026-03-23T22:20:07+00:00,2026-03-23T22:20:07+00:00,1333,25,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Trigger remote signing,5,Call remote signer,completed,success,2026-03-23T22:20:07+00:00,2026-03-23T22:20:08+00:00,1333,26,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23462188673,1,Community,Trigger remote signing,6,Complete job,completed,success,2026-03-23T22:20:08+00:00,2026-03-23T22:20:08+00:00,1334,27,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,1,Set up job,completed,success,2026-03-21T18:16:53+00:00,2026-03-21T18:16:56+00:00,3,1,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,2,Checkout (with history),completed,success,2026-03-21T18:16:56+00:00,2026-03-21T18:16:57+00:00,6,2,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,3,Validate Gradle Wrapper,completed,success,2026-03-21T18:16:57+00:00,2026-03-21T18:16:58+00:00,7,3,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,4,Set up JDK,completed,success,2026-03-21T18:16:58+00:00,2026-03-21T18:17:05+00:00,8,4,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,5,Setup Gradle,completed,success,2026-03-21T18:17:05+00:00,2026-03-21T18:17:26+00:00,15,5,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,6,Delete old Android SDK cmdline-tools,completed,success,2026-03-21T18:17:26+00:00,2026-03-21T18:17:26+00:00,36,6,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,7,Setup Android SDK,completed,success,2026-03-21T18:17:26+00:00,2026-03-21T18:17:46+00:00,36,7,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,8,Build ConnectBot,completed,success,2026-03-21T18:17:46+00:00,2026-03-21T18:31:23+00:00,56,8,False,False,True,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,9,Enable KVM for emulator and clear up space,completed,success,2026-03-21T18:31:23+00:00,2026-03-21T18:32:01+00:00,873,9,True,False,False,False,False,False,True,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,10,Run instrument tests,completed,success,2026-03-21T18:32:01+00:00,2026-03-21T18:38:33+00:00,911,10,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,11,Prepare release,completed,success,2026-03-21T18:38:33+00:00,2026-03-21T18:38:34+00:00,1303,11,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,12,Store artifacts for upload,completed,success,2026-03-21T18:38:34+00:00,2026-03-21T18:38:36+00:00,1304,12,False,False,False,False,False,False,False,False,False
connectbot/connectbot,6226310,23385720308,1,Community,Build and test,13,Post Setup Gradle,completed,success,2026-03-21T18:38:36+00:00,2026-03-21T18:39:08+00:00,1306,13,False,False,False,False,False,False,False,False,False
